entity,IUPACname
ACETYLCYSTEINE,(2R)-2-acetamido-3-sulfanylpropanoic acid
SODIUM HYDROXIDE,sodium;hydroxide
MOLYBDENUM,molybdenum
PALLADIUM,palladium
PLATINUM,platinum
PA,protactinium
SM,samarium
SC,scandium
SILVER,silver
AG,silver
CADMIUM,cadmium
COPPER,copper
AU,gold
GOLD,gold
ZINC,zinc
ZN,zinc
ZINC FOIL,zinc
CITRATE,"2-hydroxypropane-1,2,3-tricarboxylate"
5'-TETRAMETHYLBENZIDINE,"4-(4-amino-3,5-dimethylphenyl)-2,6-dimethylaniline"
CALCIUM OXALATE DIHYDRATE,calcium;oxalate;dihydrate
WEDDELLITE,calcium;oxalate;dihydrate
SUCCINATE,butanedioate
CALCIUM OXALATE MONOHYDRATE,calcium;oxalate;hydrate
SODIUM ACETATE,sodium;acetate
HNE,(E)-4-hydroxynon-2-enal
SB,antimony
BA,barium
ARSENIC,arsenic
AS,arsenic
SULFUR,sulfur
SULPHUR,sulfur
S,sulfur
TRIGLYCERIDE,"2,3-diformyloxypropyl formate"
POTASSIUM,potassium
MAGNESIUM POWDER,magnesium
PHOSPHORUS,phosphorus
BORON,boron
B,boron
SELENIUM,selenium
SE,selenium
PO,polonium
PHOSPHOROUS,lambda1-phosphane
FERRIC,"3-[[(3S,7S,11S)-7,11-bis[(2,3-dioxidobenzoyl)amino]-2,6,10-trioxo-1,5,9-trioxacyclododec-3-yl]carbamoyl]benzene-1,2-diolate;iron(3+)"
GUANINE,"2-amino-1,7-dihydropurin-6-one"
GRAPHENE,carbon
CARBON NANOTUBE,carbon
SWCNT,carbon
CARBON NANORODS,methane
CALCIUM OXALATE,calcium;oxalate
SILVER CHLORIDE,chlorosilver
CALCIUM PHOSPHATE,tricalcium;diphosphate
PRUSSIAN BLUE,iron(2+);iron(3+);octadecacyanide
DICALCIUM PHOSPHATE DIHYDRATE,calcium;hydrogen phosphate;dihydrate
CALCIUM PYROPHOSPHATE,dicalcium;phosphonato phosphate
FE3O4,oxoiron;oxo(oxoferriooxy)iron
ZIF-67,cobalt(2+);2-methylimidazol-3-ide
CALCIUM HYDROXYAPATITE,pentacalcium;hydroxide;triphosphate
SILICON DIOXIDE,dioxosilane
TITANIUM DIOXIDE,dioxotitanium
NICKEL OXIDE,oxonickel
MNO2,dioxomanganese
ZINC OXIDE,oxozinc
MOS2,bis(sulfanylidene)molybdenum
INDIUM TIN OXIDE,oxo(oxoindiganyloxy)indigane;oxotin
GABA,4-aminobutanoic acid
 GAMMA-AMINOBUTYRIC ACID,4-aminobutanoic acid
5-ALA,5-amino-4-oxopentanoic acid
 5-AMINOLEVULINIC ACID,5-amino-4-oxopentanoic acid
ETHYLENE GLYCOL,"ethane-1,2-diol"
 PEG,"ethane-1,2-diol"
 ETHANE-1,"ethane-1,2-diol"
2-DIOL,"ethane-1,2-diol"
 ETHYLENE-GLYCOL,"ethane-1,2-diol"
 MACROGOL,"ethane-1,2-diol"
ACETATE,acetate
ACETIC ACID,acetic acid
 CH3COOH,acetic acid
 ACY,acetic acid
 ACETIC ACID-,acetic acid
ACETYLCHOLINE,2-acetyloxyethyl(trimethyl)azanium
 ACH,2-acetyloxyethyl(trimethyl)azanium
AMMONIA,azane
 NH3,azane
 NH4,azane
AMMONIUM,azanium
 NH4+,azanium
BETAINE,2-(trimethylazaniumyl)acetate
 GLYCINE BETAINE,2-(trimethylazaniumyl)acetate
 N,2-(trimethylazaniumyl)acetate
N,2-(trimethylazaniumyl)acetate
N-TRIMETHYLGLYCINE,2-(trimethylazaniumyl)acetate
BUTANOL,butan-1-ol
 N-BUTANOL,butan-1-ol
 BUOH,butan-1-ol
BUTYRIC ACID,butanoic acid
 BUA,butanoic acid
 BUTANOIC ACID,butanoic acid
CA2+,calcium(2+)
CARNITINE,3-hydroxy-4-(trimethylazaniumyl)butanoate
CATECHOL,"benzene-1,2-diol"
CHOLINE,2-hydroxyethyl(trimethyl)azanium
CHT,2-hydroxyethyl(trimethyl)azanium
CHLORIDE,chloride
CHLORIDE ION,chloride
HCL,chlorane
HYDROCHLORIC ACID,chlorane
GALLIC ACID,"3,4,5-trihydroxybenzoic acid"
THIOL,sulfane
H2S,sulfane
HIPPURIC ACID,2-benzamidoacetic acid
N-BENZOYLGLYCINE,2-benzamidoacetic acid
MALIC ACID,2-hydroxybutanedioic acid
CREATINE,2-[carbamimidoyl(methyl)amino]acetic acid
CREATININE,2-amino-3-methyl-4H-imidazol-5-one
LACTIC ACID,2-hydroxypropanoic acid
DAPA,"7,8-diaminononanoic acid"
DMSO,methylsulfinylmethane
DIMETHYL SULFOXIDE,methylsulfinylmethane
DOPAMINE,"4-(2-aminoethyl)benzene-1,2-diol"
ALCOHOL,ethanol
ETHANOL,ethanol
C2H5OH,ethanol
GLY,2-aminoacetic acid
L-GLYCINE,2-aminoacetic acid
GLYCEROL,"propane-1,2,3-triol"
BICARBONATE,hydrogen carbonate
HCO3,hydrogen carbonate
HYDROGEN,molecular hydrogen
H2O2,hydrogen peroxide
HYDROQUINONE,"benzene-1,4-diol"
HQ,"benzene-1,4-diol"
IND,1H-indole
IAA,2-(1H-indol-3-yl)acetic acid
IODINE,molecular iodine
I2,molecular iodine
POTASSIUM ION,potassium(1+)
KYNURENINE,2-amino-4-(2-aminophenyl)-4-oxobutanoic acid
ALPHA-LIPOIC ACID,5-(dithiolan-3-yl)pentanoic acid
METHANOL,methanol
CH3OH,methanol
MAGNESIUM IONS,magnesium(2+)
MYO-INOSITOL,"cyclohexane-1,2,3,4,5,6-hexol"
INS,"cyclohexane-1,2,3,4,5,6-hexol"
SODIUM-ION,sodium(1+)
NARINGENIN,"5,7-dihydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one"
NICKEL IONS,nickel(2+)
NICKEL (II),nickel(2+)
NICOTINAMIDE,pyridine-3-carboxamide
NAM,pyridine-3-carboxamide
NIO,pyridine-3-carboxylic acid
NIACIN,pyridine-3-carboxylic acid
NICOTINIC ACID,pyridine-3-carboxylic acid
NITRATES,nitrate
NITRITE,nitrite
NITROGEN,molecular nitrogen
OH,hydroxide
HYDROXIDE,hydroxide
WATER,oxidane
H2O,oxidane
OXALIC ACID,oxalic acid
OXYGEN,molecular oxygen
O2,molecular oxygen
PAB,4-aminobenzoic acid
PABA,4-aminobenzoic acid
PNP,4-nitrophenol
PALMITIC ACID,hexadecanoic acid
FAT,hexadecanoic acid
PHENYLPYRUVATE,2-oxo-3-phenylpropanoic acid
PURINE,7H-purine
PURIN,7H-purine
PYRAZINAMIDE,pyrazine-2-carboxamide
PZA,pyrazine-2-carboxamide
PHOSPHATE,phosphate
PHOSPHATE ION,phosphate
SARCOSINE,2-(methylamino)acetic acid
SAR,2-(methylamino)acetic acid
SULPHATE,sulfate
TAURINE,2-aminoethanesulfonic acid
TRIMETHYLAMINE-N-OXIDE,"N,N-dimethylmethanamine oxide"
TSH,2-(1H-indol-3-yl)ethanamine
TRYPTAMINE,2-(1H-indol-3-yl)ethanamine
URACIL,"1H-pyrimidine-2,4-dione"
URA,"1H-pyrimidine-2,4-dione"
UREA,urea
VANILLIN,4-hydroxy-3-methoxybenzaldehyde
XAN,"3,7-dihydropurine-2,6-dione"
ALP,(2-methoxy-3-octadecoxypropyl) 2-(trimethylazaniumyl)ethyl phosphate
HVA,2-(4-hydroxy-3-methoxyphenyl)acetic acid
HOMOVANILLIC ACID,2-(4-hydroxy-3-methoxyphenyl)acetic acid
N-ACETYL-P-AMINOPHENOL,N-(4-hydroxyphenyl)acetamide
PARA-AMINOHIPPURIC ACID,2-[(4-aminobenzoyl)amino]acetic acid
ASPIRIN,2-acetyloxybenzoic acid
BP,benzo[a]pyrene
CAFFEINE,"1,3,7-trimethylpurine-2,6-dione"
C8H10N4O2,"1,3,7-trimethylpurine-2,6-dione"
7-DIHYDRO-1,"1,3,7-trimethylpurine-2,6-dione"
7-TRIMETHYL-1H-PURINE-2,"1,3,7-trimethylpurine-2,6-dione"
CIS,azanide;dichloroplatinum(2+)
DICLOFENAC,"2-[2-(2,6-dichloroanilino)phenyl]acetic acid"
VPA,2-propylpentanoic acid
EUGENOL,2-methoxy-4-prop-2-enylphenol
5-FU,"5-fluoro-1H-pyrimidine-2,4-dione"
GLYPHOSATE,2-(phosphonomethylamino)acetic acid
GPF,2-(phosphonomethylamino)acetic acid
HYDRALAZINE,phthalazin-1-ylhydrazine
HYDROXYUREA,hydroxyurea
HU,hydroxyurea
ISONIAZID,pyridine-4-carbohydrazide
INH,pyridine-4-carbohydrazide
ISO,"4-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzene-1,2-diol"
ISOPRENALINE,"4-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzene-1,2-diol"
EDARAVONE,5-methyl-2-phenyl-4H-pyrazol-3-one
METFORMIN,"3-(diaminomethylidene)-1,1-dimethylguanidine"
PENTOXIFYLLINE,"3,7-dimethyl-1-(5-oxohexyl)purine-2,6-dione"
PX,"3,7-dimethyl-1-(5-oxohexyl)purine-2,6-dione"
KCL,potassium;chloride
POTASSIUM-CHLORIDE,potassium;chloride
PROPOFOL,"2,6-di(propan-2-yl)phenol"
SACCHARIN,"1,1-dioxo-1,2-benzothiazol-3-one"
LSA,"1,1-dioxo-1,2-benzothiazol-3-one"
SALT,sodium;chloride
SALINE,sodium;chloride
NACL,sodium;chloride
SODIUM CHLORIDE,sodium;chloride
IODIZED SALT,sodium;chloride
NAF,sodium;fluoride
SODIUM FLUORIDE,sodium;fluoride
THEOBROMINE,"3,7-dimethylpurine-2,6-dione"
7-DIMETHYLXANTHINE,"3,7-dimethylpurine-2,6-dione"
ALLOXAN,"1,3-diazinane-2,4,5,6-tetrone"
EPINEPHRINE,"4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol"
ADRENALINE,"4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol"
IOP,"4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol"
ALE,"4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol"
CCL4,tetrachloromethane
CARBON TETRACHLORIDE,tetrachloromethane
TETRACHLOROMETHANE,tetrachloromethane
TEAC,tetraethylazanium;chloride
ALA,(2S)-2-aminopropanoic acid
L-ALANINE,(2S)-2-aminopropanoic acid
ASPARTATE,(2S)-2-aminobutanedioic acid
L-ASP,(2S)-2-aminobutanedioic acid
ASP,(2S)-2-aminobutanedioic acid
GLN,"(2S)-2,5-diamino-5-oxopentanoic acid"
GLUTAMINE,"(2S)-2,5-diamino-5-oxopentanoic acid"
L-GLN,"(2S)-2,5-diamino-5-oxopentanoic acid"
LYSINE,"(2S)-2,6-diaminohexanoic acid"
LYS,"(2S)-2,6-diaminohexanoic acid"
CTAB,hexadecyl(trimethyl)azanium;bromide
CETYLTRIMETHYLAMMONIUM BROMIDE,hexadecyl(trimethyl)azanium;bromide
CETRIMONIUM BROMIDE,hexadecyl(trimethyl)azanium;bromide
LEVODOPA,"(2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid"
L-3,"(2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid"
4-DIHYDROXYPHENYLALANINE,"(2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid"
L-DIHYDROXYPHENYLALANINE,"(2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid"
EDTA,2-[2-[bis(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetic acid
ETHYLENEDIAMINE TETRAACETIC ACID,2-[2-[bis(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetic acid
TYROSINE,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid
LEUCINE,(2S)-2-amino-4-methylpentanoic acid
METHIONINE,(2S)-2-amino-4-methylsulfanylbutanoic acid
MET,(2S)-2-amino-4-methylsulfanylbutanoic acid
PHE,(2S)-2-amino-3-phenylpropanoic acid
CHLOROFORM,chloroform
VALINE,(2S)-2-amino-3-methylbutanoic acid
ILE,"(2S,3S)-2-amino-3-methylpentanoic acid"
TCA,"2,2,2-trichloroacetic acid"
ACRYLAMIDE,prop-2-enamide
BPA,4-[2-(4-hydroxyphenyl)propan-2-yl]phenol
THYMOL,5-methyl-2-propan-2-ylphenol
AGE,2-(prop-2-enoxymethyl)oxirane
N-HEXANE,hexane
 HEXANE,hexane
DEHP,"bis(2-ethylhexyl) benzene-1,2-dicarboxylate"
 DOP,"bis(2-ethylhexyl) benzene-1,2-dicarboxylate"
 BIS(2-ETHYLHEXYL) PHTHALATE,"bis(2-ethylhexyl) benzene-1,2-dicarboxylate"
ETHYL ACETATE,ethyl acetate
 ETOAC,ethyl acetate
PYRIMIDINE,pyrimidine
LEAD ACETATE,lead(2+);diacetate
HYDRAZINE,hydrazine
PFOA,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoic acid"
CITRULLINE,(2S)-2-amino-5-(carbamoylamino)pentanoic acid
RHEIN,"4,5-dihydroxy-9,10-dioxoanthracene-2-carboxylic acid"
INDOXYL SULFATE,1H-indol-3-yl hydrogen sulfate
CARVACROL,2-methyl-5-propan-2-ylphenol
CK,carbononitridic chloride
LUMINOL,"5-amino-2,3-dihydrophthalazine-1,4-dione"
L-CARNITINE,(3R)-3-hydroxy-4-(trimethylazaniumyl)butanoate
LEVOCARNITINE,(3R)-3-hydroxy-4-(trimethylazaniumyl)butanoate
MALONDIALDEHYDE,propanedial
EOSIN,"disodium;2-(2,4,5,7-tetrabromo-3-oxido-6-oxoxanthen-9-yl)benzoate"
PAEONOL,1-(2-hydroxy-4-methoxyphenyl)ethanone
NA,(2R)-2-acetamido-3-sulfanylpropanoic acid
POTASSIUM CITRATE,"tripotassium;2-hydroxypropane-1,2,3-tricarboxylate"
K CITRATE,"tripotassium;2-hydroxypropane-1,2,3-tricarboxylate"
NAOH,sodium;hydroxide
IRON,iron
FE,iron
LANTHANUM,lanthanum
MANGANESE,manganese
MERCURY,mercury
NE,neon
PM,promethium
TECHNETIUM,technetium
AC,actinium
AM,americium
CHROMIUM,chromium
ALCL3,trichloroalumane
ALUMINUM CHLORIDE,trichloroalumane
MAGNESIUM SULFATE,magnesium;sulfate
MGSO4,magnesium;sulfate
HGCL2,dichloromercury
MERCURIC CHLORIDE,dichloromercury
NA2SO4,disodium;sulfate
SODIUM SULFATE,disodium;sulfate
CUSO4,copper;sulfate
COPPER SULFATE,copper;sulfate
CL,molecular chlorine
CHLORINE,molecular chlorine
NO,nobelium
OZONE,ozone
CDCL2,dichlorocadmium
BSA,trimethylsilyl N-trimethylsilylethanimidate
NH4CL,azanium;chloride
HEME,"3-[18-(2-carboxyethyl)-8,13-bis(ethenyl)-3,7,12,17-tetramethylporphyrin-21,24-diid-2-yl]propanoic acid;iron(2+)"
HEMIN,"3-[18-(2-carboxyethyl)-8,13-bis(ethenyl)-3,7,12,17-tetramethylporphyrin-21,24-diid-2-yl]propanoic acid;iron(2+)"
COPPER IONS,copper(2+)
FE2+,iron(2+)
FERROUS IONS,iron(2+)
FLUORIDE,fluoride
STREPTOZOTOCIN,"1-methyl-1-nitroso-3-[(2S,3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]urea"
FE3+,iron(3+)
FERRIC ION,iron(3+)
PGE,2-(phenoxymethyl)oxirane
UREA NITROGEN,nitric acid;urea
GLU,(2S)-2-aminopentanedioic acid
GLT,(2S)-2-aminopentanedioic acid
GLUT,(2S)-2-aminopentanedioic acid
TROLOX,"6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydrochromene-2-carboxylic acid"
TROLOX C,"6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydrochromene-2-carboxylic acid"
6-HYDROXY-2,"6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydrochromene-2-carboxylic acid"
8-TETRAMETHYLCHROMAN-2-CARBOXYLIC ACID,"6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydrochromene-2-carboxylic acid"
TMB,"4-(4-amino-3,5-dimethylphenyl)-2,6-dimethylaniline"
AO,"3-N,3-N,6-N,6-N-tetramethylacridine-3,6-diamine"
ACRIDINE ORANGE,"3-N,3-N,6-N,6-N-tetramethylacridine-3,6-diamine"
OXALATE,oxalate
THEACRINE,"1,3,7,9-tetramethylpurine-2,6,8-trione"
PROPIONATE,propanoate
BUTYRATE,butanoate
BUTANOATE,butanoate
ADA,2-[(2-amino-2-oxoethyl)-(carboxymethyl)amino]acetic acid
NITRIC OXIDE,nitric oxide
ANTHOCYANIN,2-phenylchromenylium
ANTHOCYANIDINS,2-phenylchromenylium
HYDROXYL,lambda1-oxidane
HYDROXYL RADICAL,lambda1-oxidane
SINGLET OXYGEN,oxygen
SDMA,"(2S)-2-amino-5-[(N,N'-dimethylcarbamimidoyl)amino]pentanoic acid"
SYMMETRIC DIMETHYLARGININE,"(2S)-2-amino-5-[(N,N'-dimethylcarbamimidoyl)amino]pentanoic acid"
AOPP,3-(2-aminooxyphenyl)propanoic acid
EG,4-amino-5-(carboxymethylamino)-5-oxopentanoic acid
NOREPINEPHRINE,"4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol"
NORADRENALINE,"4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol"
ARB,"(2S,3R,4S,5S)-oxane-2,3,4,5-tetrol"
NAASO2,sodium;oxoarsinite
SODIUM-ARSENITE,sodium;oxoarsinite
RESVERATROL,"5-[(E)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol"
TRANS-RESVERATROL,"5-[(E)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol"
OLEIC ACID,(Z)-octadec-9-enoic acid
OLEATE,(Z)-octadec-9-enoic acid
OLE,(Z)-octadec-9-enoic acid
C18:1,(Z)-octadec-9-enoic acid
SODIUM BICARBONATE,sodium;hydrogen carbonate
NAHCO3,sodium;hydrogen carbonate
SCFA,sodium;acetate
BCAA,2-bromo-2-chloroacetic acid
CAFFEIC ACID,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid"
TG,"2-amino-3,7-dihydropurine-6-thione"
THIOBARBITURIC ACID,"2-sulfanylidene-1,3-diazinane-4,6-dione"
THIOBARBITURATE,"2-sulfanylidene-1,3-diazinane-4,6-dione"
TAA,ethanethioamide
THIOACETAMIDE,ethanethioamide
TGS,"2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3H-purine-6-thione"
MPO,"5-(4-methoxyphenyl)-1,3-oxazole"
P-CRESOL SULFATE,(4-methylphenyl) hydrogen sulfate
PARA-CRESOL SULFATE,(4-methylphenyl) hydrogen sulfate
DICLOFENAC SODIUM,"sodium;2-[2-(2,6-dichloroanilino)phenyl]acetate"
DICLOFENAC SODIUM SALT,"sodium;2-[2-(2,6-dichloroanilino)phenyl]acetate"
SODIUM DICLOFENAC,"sodium;2-[2-(2,6-dichloroanilino)phenyl]acetate"
APIGENIN,"5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one"
CHAMOMILE,"5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one"
LUTEOLIN,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one"
LUTEOLINE,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one"
LINOLEIC ACID,"(9Z,12Z)-octadeca-9,12-dienoic acid"
LINOLEIC,"(9Z,12Z)-octadeca-9,12-dienoic acid"
LINOLEATE,"(9Z,12Z)-octadeca-9,12-dienoic acid"
C18:2,"(9Z,12Z)-octadeca-9,12-dienoic acid"
GENISTEIN,"5,7-dihydroxy-3-(4-hydroxyphenyl)chromen-4-one"
GEN,"5,7-dihydroxy-3-(4-hydroxyphenyl)chromen-4-one"
CHRYSIN,"5,7-dihydroxy-2-phenylchromen-4-one"
FISETIN,"2-(3,4-dihydroxyphenyl)-3,7-dihydroxychromen-4-one"
FSE,"2-(3,4-dihydroxyphenyl)-3,7-dihydroxychromen-4-one"
4-HNE,(E)-4-hydroxynon-2-enal
4-HYDROXYNONENAL,(E)-4-hydroxynon-2-enal
4-HYDROXY-2-NONENAL,(E)-4-hydroxynon-2-enal
4-HYDROXY-2,(E)-4-hydroxynon-2-enal
3-NONENAL,(E)-4-hydroxynon-2-enal
VITAMIN B12,"cobalt(3+);[(2R,3S,4R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] [(2R)-1-[3-[(1R,2R,3R,5Z,7S,10Z,12S,13S,15Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-24-id-3-yl]propanoylamino]propan-2-yl] phosphate;cyanide"
PB,lead
LEAD,lead
CS,cesium
CESIUM,cesium
AL,aluminum
ALUMINUM,aluminum
SODIUM,sodium
MONOSODIUM,sodium
NATRIUM,sodium
GA,gallium
CALCIUM,calcium
CISPLATIN,azane;dichloroplatinum
HOMA,8-hydroxyoctyl 2-methylprop-2-enoate
BEMPEDOIC ACID,"8-hydroxy-2,2,14,14-tetramethylpentadecanedioic acid"
ETC-1002,"8-hydroxy-2,2,14,14-tetramethylpentadecanedioic acid"
HAUCL4,trichlorogold;hydrochloride
FT3,"2-(2,4-dichlorophenoxy)-5-(hydroxymethyl)phenol"
OP,"(2S)-2,5-diaminopentanoic acid;2-phenylacetic acid"
WARFARIN,4-hydroxy-3-(3-oxo-1-phenylbutyl)chromen-2-one
COUMARINS,4-hydroxy-3-(3-oxo-1-phenylbutyl)chromen-2-one
COMPOUND 42,4-hydroxy-3-(3-oxo-1-phenylbutyl)chromen-2-one
GUA,"2-amino-1,7-dihydropurin-6-one"
HYPOXANTHINE,"1,7-dihydropurin-6-one"
HX,"1,7-dihydropurin-6-one"
METHANE,methane
MAGNESIUM AMMONIUM PHOSPHATE HEXAHYDRATE,azanium;magnesium;phosphate;hexahydrate
ACTIVATED CARBON,carbon
CARBON NANOFIBERS,methane
BRUSHITE,calcium;hydrogen phosphate;dihydrate
HYDROXYAPATITE,pentacalcium;hydroxide;triphosphate
STRUVITE,azanium;magnesium;phosphate;hexahydrate
