entity,count,IUPACname,cid
BILIRUBIN,640,3-[2-[[3-(2-carboxyethyl)-5-[(Z)-(3-ethenyl-4-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-2-yl]methyl]-5-[(Z)-(4-ethenyl-3-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-3-yl]propanoic acid,5280352
HDL,611,"(2S,3R,4S)-2,3,4-trihydroxy-5-(hydroxyamino)-5-oxopentanoic acid",6323542
BUN,584,"4-[(E,3R)-3-(2,4-dihydroxyphenyl)-3-hydroxyprop-1-enyl]benzene-1,2-diol",91971254
"SUGAR, SUCROSE, SACCHAROSE",550,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",5988
"POTASSIUM, K",536,potassium,5462222
"GRAPHENE, C, CARBON, CARBON NANOTUBES, CARBON NANOTUBE, GRAPHITE, CARBON BLACK, SWCNT, CHARCOAL, GRAPHITE POWDER, ACTIVATED CARBON, VITREOUS CARBON, ACETYLENE BLACK",511,carbon,5462310
"MAGNESIUM, MG, MAGNESIUM POWDER",507,magnesium,5462224
"OXYGEN, O2, LOX, OXY",496,molecular oxygen,977
SOD,471,"(1R,2S,4S,5S,6R,8R,9S,11S)-2-[[(3aS,5R,7R,7aS)-7-methyl-3-methylidene-4,5,7,7a-tetrahydro-3aH-furo[2,3-c]pyran-5-yl]oxymethyl]-6-chloro-9-formyl-5-methyl-13-propan-2-yltetracyclo[7.4.0.02,11.04,8]tridecane-1-carboxylic acid",11963501
"IRON, FE, FERRUM",469,iron,23925
"XANTHINE, XAN",464,"3,7-dihydropurine-2,6-dione",1188
"NITROGEN, N, N2",457,molecular nitrogen,947
"TC, TECHNETIUM",452,technetium,23957
"HYPOXANTHINE, HX",446,"1,7-dihydropurin-6-one",135398638
"PHOSPHORUS, P",426,phosphorus,5462309
"STREPTOZOTOCIN, STZ, STREPTOZOCIN",424,"1-methyl-1-nitroso-3-[(2S,3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]urea",29327
"SALT, SALINE, NACL, SODIUM CHLORIDE, IODIZED SALT",420,sodium;chloride,5234
"MONOSODIUM URATE, SODIUM URATE",402,"sodium;3,7-dihydropurin-9-ide-2,6,8-trione",23697816
"METFORMIN, METFORMINE",396,"3-(diaminomethylidene)-1,1-dimethylguanidine",4091
"CD, CADMIUM",388,cadmium,23973
TESTOSTERONE,379,"(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",6013
EMPAGLIFLOZIN,371,"(2S,3R,4R,5S,6R)-2-[4-chloro-3-[[4-[(3S)-oxolan-3-yl]oxyphenyl]methyl]phenyl]-6-(hydroxymethyl)oxane-3,4,5-triol",11949646
"ZINC, ZN, ZINC FOIL, ZINC ATOM",367,zinc,23994
"CR, CHROMIUM",366,chromium,23976
"AMMONIA, NH3, NH4",343,azane,222
"ACETAMINOPHEN, PARACETAMOL, APAP, N-ACETYL-P-AMINOPHENOL, N-ACETYL-PARA-AMINOPHENOL, PANADOL, 4-ACETAMIDOPHENOL, ACETAMINOPHENE",343,N-(4-hydroxyphenyl)acetamide,1983
UREA NITROGEN,341,nitric acid;urea,31295
CISPLATIN,333,azane;dichloroplatinum,5702198
LACTATE,330,2-hydroxypropanoate,91435
"PHOSPHATE, PHOSPHATES, PHOSPHATE IONS, PHOSPHATE-ION, PHOSPHATE ION",329,phosphate,1061
NO,322,nobelium,24822
"NITRIC OXIDE, NITRIC-OXIDE",318,nitric oxide,145068
"SELENIUM, SE",307,selenium,6326970
"MTX, METHOTREXATE",294,"(2S)-2-[[4-[(2,4-diaminopteridin-6-yl)methyl-methylamino]benzoyl]amino]pentanedioic acid",126941
"OXALATE, OX",294,oxalate,71081
"CCL4, CARBON TETRACHLORIDE, TETRACHLOROMETHANE",288,tetrachloromethane,5943
"GLU, GLUTAMATE, GLUTAMIC ACID, GLT, L-GLUTAMIC ACID, L-GLUTAMATE, L-GLU, GLUT",283,(2S)-2-aminopentanedioic acid,33032
"ATP, ADENOSINE TRIPHOSPHATE, ADENOSINE 5?-TRIPHOSPHATE, ADENOSINE 5'-TRIPHOSPHATE",282,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",5957
"WATER, H2O, EAU",277,oxidane,962
"COPPER, CU, COPPER NANOWIRES, CU FOIL, CUPRUM",275,copper,23978
"POTASSIUM OXONATE, OXONIC ACID POTASSIUM SALT, OTERACIL POTASSIUM, POTASSIUM-OXONATE",269,"potassium;4,6-dioxo-1H-1,3,5-triazine-2-carboxylate",2723920
"CALCIUM OXALATE, CALCIUM-OXALATE",269,calcium;oxalate,33005
"ADENINE, ADE",259,7H-purin-6-amine,190
BENZBROMARONE,255,"(3,5-dibromo-4-hydroxyphenyl)-(2-ethyl-1-benzofuran-3-yl)methanone",2333
"TRYPTOPHAN, TRP, L-TRYPTOPHAN, L-TRP",254,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,6305
"QUERCETIN, QUER, QUE, QUERCITIN",248,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one",5280343
CITRATE,248,"2-hydroxypropane-1,2,3-tricarboxylate",31348
"LESINURAD, ZURAMPIC, 2-{[5-BROMO-4-(4-CYCLOPROPYLNAPHTHALEN-1-YL)-4H-1,2,4-TRIAZOL-3-YL]SULFANYL}ACETIC ACID",243,"2-[[5-bromo-4-(4-cyclopropylnaphthalen-1-yl)-1,2,4-triazol-3-yl]sulfanyl]acetic acid",53465279
COLCHICINE,240,"N-[(7S)-1,2,3,10-tetramethoxy-9-oxo-6,7-dihydro-5H-benzo[a]heptalen-7-yl]acetamide",6167
GGT,237,"[(2S,3R,4R,6R)-6-[[(1S,8S,10S,17S,18S,19R,21S)-17-[(2S,4R,5S,6S)-5-acetyl-4,5-dihydroxy-6-methyloxan-2-yl]oxy-19-(dimethoxymethyl)-10,13,18-trihydroxy-6-methoxy-3,18-dimethyl-11-oxo-16,20,22-trioxahexacyclo[17.2.1.02,15.05,14.07,12.017,21]docosa-2(15),3,5(14),6,12-pentaen-8-yl]oxy]-4-hydroxy-2,4-dimethyloxan-3-yl] acetate",24801861
DAPAGLIFLOZIN,237,"(2S,3R,4R,5S,6R)-2-[4-chloro-3-[(4-ethoxyphenyl)methyl]phenyl]-6-(hydroxymethyl)oxane-3,4,5-triol",9887712
RGO,236,"(3aS)-2,2-difluoro-3a,4-dihydro-3H-pyrrolo[1,2-a]indol-1-one",166001319
"CAFFEINE, C8H10N4O2, 3,7-DIHYDRO-1,3,7-TRIMETHYL-1H-PURINE-2,6-DIONE",225,"1,3,7-trimethylpurine-2,6-dione",2519
"PB, LEAD",221,lead,5352425
"BP, BENZO[A]PYRENE",216,benzo[a]pyrene,2336
"ESTRADIOL, ESTROGEN, E2, OESTRADIOL",213,"(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",5757
CURCUMIN,206,"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",969516
"FOLIC ACID, FOLATE, VITAMIN B9, PGA, FOLIC, FOL",201,(2S)-2-[[4-[(2-amino-4-oxo-3H-pteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid,135398658
GENTAMICIN,200,"2-[4,6-diamino-3-[3-amino-6-[1-(methylamino)ethyl]oxan-2-yl]oxy-2-hydroxycyclohexyl]oxy-5-methyl-4-(methylamino)oxane-3,5-diol",3467
"EPINEPHRINE, ADRENALINE, IOP, ALE",200,"4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol",5816
"VITAMIN E, TOCOPHEROL, ALPHA-TOCOPHEROL",199,"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol",14985
"T3, TRIIODOTHYRONINE, [125I]T3",198,"(2S)-2-amino-3-[4-(4-hydroxy-3-iodophenoxy)-3,5-diiodophenyl]propanoic acid",5920
GLYCOGEN,191,"(2S,3R,4S,5S,6R)-2-[[(2R,3S,4R,5R,6R)-4,5-dihydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",439177
"TOPIROXOSTAT, FYX-051",190,"4-(5-pyridin-4-yl-1H-1,2,4-triazol-3-yl)pyridine-2-carbonitrile",5288320
"DOXORUBICIN, DOX, ADRIAMYCIN, ADM, ADR",189,"(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",31703
ALLANTOIN,187,"(2,5-dioxoimidazolidin-4-yl)urea",204
GA,187,gallium,5360835
"ASPARTATE, ASPARTIC ACID, L-ASP, L-ASPARTIC ACID, ASP",186,(2S)-2-aminobutanedioic acid,5960
"CARBON DOTS, METHANE, GLASSY CARBON, GRAPHENE QUANTUM DOTS, CH4, CARBON QUANTUM DOTS, MESOPOROUS CARBON, N-DOPED GRAPHENE, CARBON NANOFIBERS, CARBON FIBER, CARBON NANOFIBER, CARBON NANORODS, N-DOPED GRAPHENE QUANTUM DOTS, CARBON QUANTUM DOT",186,methane,297
TYG,183,8-methyl-2-(pyridin-4-ylsulfanylmethyl)-3H-quinazolin-4-one,155818515
"BPA, BISPHENOL A, BISPHENOL-A, BISPHENOL, BISPHENOL A.",181,4-[2-(4-hydroxyphenyl)propan-2-yl]phenol,6623
"CHLORIDE, CL-, CHLORIDE IONS, CHLORIDES, CHLORIDE ION",176,chloride,312
"FAVIPIRAVIR, T-705",172,5-fluoro-2-oxo-1H-pyrazine-3-carboxamide,492405
"AFB1, AFLATOXIN B1, AFLATOXIN B",171,"(3S,7R)-11-methoxy-6,8,19-trioxapentacyclo[10.7.0.02,9.03,7.013,17]nonadeca-1,4,9,11,13(17)-pentaene-16,18-dione",186907
GPX,171,"[(3aR,4R,6R,6aR)-4-(2-amino-6-oxo-1H-purin-9-yl)-2-hydroxy-2-oxo-3a,4,6,6a-tetrahydrofuro[3,4-d][1,3,2]dioxaphosphol-6-yl]methyl phosphono hydrogen phosphate",135460989
"BEMPEDOIC ACID, ETC-1002",170,"8-hydroxy-2,2,14,14-tetramethylpentadecanedioic acid",10472693
"THYROXINE, T4, THYROXIN, L-T4, LEVOTHYROXINE, TETRAIODOTHYRONINE",166,"(2S)-2-amino-3-[4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]propanoic acid",5819
"ARGININE, L-ARGININE, ARG, L-ARG",164,(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid,6322
"INOSINE, INO",162,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one",135398641
"METHIONINE, MET, L-MET, L-METHIONINE",162,(2S)-2-amino-4-methylsulfanylbutanoic acid,6137
"THIOL, H2S, THIOLS, HYDROGEN SULFIDE, HYDROGEN SULPHIDE",161,sulfane,402
"CORTISOL, HYDROCORTISONE, HC",161,"(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one",5754
"ASPIRIN, ACETYLSALICYLIC ACID, ASA, ACETYL SALICYLIC ACID, ACETYLSALYCILIC ACID, ECM",160,2-acetyloxybenzoic acid,2244
CANAGLIFLOZIN,158,"(2S,3R,4R,5S,6R)-2-[3-[[5-(4-fluorophenyl)thiophen-2-yl]methyl]-4-methylphenyl]-6-(hydroxymethyl)oxane-3,4,5-triol",24812758
"GLYCINE, GLY, L-GLYCINE",156,2-aminoacetic acid,750
MELATONIN,155,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide,896
"CYSTEINE, L-CYSTEINE, L-CYS, CYS, L-CYSTEIN",155,(2R)-2-amino-3-sulfanylpropanoic acid,5862
"ETHYLENE GLYCOL, PEG, ETHANE-1,2-DIOL, ETHYLENE-GLYCOL, MACROGOL",154,"ethane-1,2-diol",174
XOD,153,"(1S,2S,3R,4S,5S)-1-(hydroxymethyl)-5-[6-(2-nitro-4-pyrimidin-2-ylanilino)hexylamino]cyclohexane-1,2,3,4-tetrol",156612906
ADENOSINE,151,"(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",60961
"HCTZ, HYDROCHLOROTHIAZIDE, HCT, HYDROCHLORTHIAZIDE, HCZ",148,"6-chloro-1,1-dioxo-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",3639
ALP,147,(2-methoxy-3-octadecoxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,1392
"TMAO, TRIMETHYLAMINE N-OXIDE, TRIMETHYLAMINE-N-OXIDE, TMAE",143,"N,N-dimethylmethanamine oxide",1145
"RESVERATROL, TRANS-RESVERATROL",143,"5-[(E)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol",445154
GCE,143,"(2S)-2-(3-aminopropyl)-5-(2,5-difluorophenyl)-N-methoxy-N-methyl-2-phenyl-1,3,4-thiadiazolidine-3-carboxamide",139033892
PO,137,polonium,6328143
"DOTINURAD, FYU-981",137,"(3,5-dichloro-4-hydroxyphenyl)-(1,1-dioxo-2H-1,3-benzothiazol-3-yl)methanone",51349053
LOSARTAN,135,[2-butyl-5-chloro-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol,3961
FBG,133,"6-fluoro-4H-1,3-benzodioxine-8-carboxylic acid",2779901
"SEROTONIN, 5-HT, 5-HYDROXYTRYPTAMINE",132,3-(2-aminoethyl)-1H-indol-5-ol,5202
"RETINOL, VITAMIN A, ALL-TRANS-RETINOL",131,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraen-1-ol",445354
"VERINURAD, RDEA3170",129,2-[3-(4-cyanonaphthalen-1-yl)pyridin-4-yl]sulfanyl-2-methylpropanoic acid,54767229
ADA,129,2-[(2-amino-2-oxoethyl)-(carboxymethyl)amino]acetic acid,117765
CREATINE,128,2-[carbamimidoyl(methyl)amino]acetic acid,586
"K+, POTASSIUM ION",127,potassium(1+),813
"NA+, SODIUM-ION, SODIUM ION",125,sodium(1+),923
"CYCLOSPORINE, CSA, CYCLOSPORINE A, CICLOSPORIN, CYCLOSPORIN, CYCLOSPORIN A, CYA, CICLOSPORINE",125,"(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-30-ethyl-33-[(E,1R,2R)-1-hydroxy-2-methylhex-4-enyl]-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone",5284373
MONOSODIUM URATE CRYSTALS,122,"sodium;2,8-dioxo-7,9-dihydro-1H-purin-6-olate",135532293
"8-OHDG, 8-OXODG, 8-OXO-DG, 8-HYDROXYDEOXYGUANOSINE, 8-HYDROXY-2-DEOXYGUANOSINE, 8-HYDROXY-DEOXYGUANOSINE, 8-HYDROXY-2'-DEOXYGUANOSINE, 8-OXO-2'-DEOXYGUANOSINE, 8-HYDROXY-2?-DEOXYGUANOSINE",122,"2-amino-9-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,7-dihydropurine-6,8-dione",135440064
"HYDROGEN, 1H, H2, H, MICROCRYSTALLINE CELLULOSE",121,molecular hydrogen,783
"NAC, N-ACETYLCYSTEINE, N-ACETYL CYSTEINE, N-ACETYL-L-CYSTEINE, ACETYLCYSTEINE, N-ACETYL-CYSTEINE, N-ACETYL-L-CYSTEIN",120,(2R)-2-acetamido-3-sulfanylpropanoic acid,12035
"NITRITE, NITRITES",118,nitrite,946
"VITAMIN D3, CHOLECALCIFEROL, CC",118,"(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-7a-methyl-1-[(2R)-6-methylheptan-2-yl]-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexan-1-ol",5280795
"ATORVASTATIN, ATOR",118,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoic acid",60823
CHITOSAN,117,"methyl N-[(2S,3R,4R,5S,6R)-5-[(2S,3R,4R,5S,6R)-3-amino-5-[(2S,3R,4R,5S,6R)-3-amino-5-[(2S,3R,4R,5S,6R)-3-amino-5-[(2S,3R,4R,5S,6R)-3-amino-5-[(2S,3R,4R,5S,6R)-3-amino-5-[(2S,3R,4R,5S,6R)-3-amino-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-[(2R,3S,4R,5R,6S)-5-amino-6-[(2R,3S,4R,5R,6R)-5-amino-4,6-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-3-yl]carbamate",71853
"GLN, L-GLUTAMINE, GLUTAMINE, L-GLN",117,"(2S)-2,5-diamino-5-oxopentanoic acid",5961
"CYSTINE, L-CYSTINE",116,(2R)-2-amino-3-[[(2R)-2-amino-2-carboxyethyl]disulfanyl]propanoic acid,67678
"NPS, NAPROXEN",115,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,156391
LACTIC ACID,115,2-hydroxypropanoic acid,612
HOMA,115,8-hydroxyoctyl 2-methylprop-2-enoate,10081970
EP,114,(2S)-1-[(2S)-2-amino-4-carboxybutanoyl]pyrrolidine-2-carboxylic acid,11218768
"PEROXIDASE, HORSERADISH PEROXIDASE",112,N-(2-aminophenyl)-4-[[(4-pyridin-3-ylpyrimidin-2-yl)amino]methyl]benzamide,9865515
"BICARBONATE, HCO3, BICARBONATES, HCO3-",112,hydrogen carbonate,769
TACROLIMUS,111,"(1R,9S,12S,13R,14S,17R,18E,21S,23S,24R,25S,27R)-1,14-dihydroxy-12-[(E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl]-23,25-dimethoxy-13,19,21,27-tetramethyl-17-prop-2-enyl-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone",445643
VFA,111,"N-[(3-methoxyphenyl)methyl]-5H-chromeno[3,4-c]pyridine-8-carboxamide",121363591
"ALA, L-ALANINE, ALANINE, L-ALA",109,(2S)-2-aminopropanoic acid,5950
AOPP,108,3-(2-aminooxyphenyl)propanoic acid,170717
"DICLOFENAC, DIF",108,"2-[2-(2,6-dichloroanilino)phenyl]acetic acid",3033
SILYMARIN,107,"3,5,7-trihydroxy-2-[3-(4-hydroxy-3-methoxyphenyl)-2-(hydroxymethyl)-2,3-dihydro-1,4-benzodioxin-6-yl]-2,3-dihydrochromen-4-one",5213
"ARSENIC, AS",106,arsenic,5359596
"THEACRINE, 1,3,7,9-TETRAMETHYLURIC ACID, 1,3,7,9-TETRAMETHYLURIC-ACID",105,"1,3,7,9-tetramethylpurine-2,6,8-trione",75324
"GUANINE, GUA",104,"2-amino-1,7-dihydropurin-6-one",135398634
"COQ10, COENZYME Q10, UBIQUINONE, COENZYME-Q10",104,"2-[(2E,6E,10E,14E,18E,22E,26E,30E,34E)-3,7,11,15,19,23,27,31,35,39-decamethyltetraconta-2,6,10,14,18,22,26,30,34,38-decaenyl]-5,6-dimethoxy-3-methylcyclohexa-2,5-diene-1,4-dione",5281915
"LEVODOPA, L-DOPA, L-3,4-DIHYDROXYPHENYLALANINE, L-DIHYDROXYPHENYLALANINE",101,"(2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid",6047
GALLIC ACID,101,"3,4,5-trihydroxybenzoic acid",370
"ADMA, ASYMMETRIC DIMETHYLARGININE, DIMETHYL-L-ARGININE",97,(2S)-2-amino-5-[[amino(dimethylamino)methylidene]amino]pentanoic acid,123831
FENOFIBRATE,97,propan-2-yl 2-[4-(4-chlorobenzoyl)phenoxy]-2-methylpropanoate,3339
TAURINE,95,2-aminoethanesulfonic acid,1123
"ZNO, ZINC OXIDE, ZINC OXIDE QUANTUM DOTS",93,oxozinc,14806
HFD,93,"[[(2R,3S,4S,5R)-5-(6-amino-2-fluoropurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",22842095
BA,92,barium,5355457
AGE,90,2-(prop-2-enoxymethyl)oxirane,7838
"OTA, OCHRATOXIN A",89,"(2S)-2-[[(3R)-5-chloro-8-hydroxy-3-methyl-1-oxo-3,4-dihydroisochromene-7-carbonyl]amino]-3-phenylpropanoic acid",442530
RUTIN,89,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",5280805
"CDCL2, CADMIUM CHLORIDE",89,dichlorocadmium,24947
"CYCLOPHOSPHAMIDE, CY",89,"N,N-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",2907
"BILE ACID, BILE SALT",88,"4-[(3R,5S,7R,12S)-3,7,12-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid",439520
FLUORIDE,88,fluoride,28179
"ETHYL ACETATE, ETOAC, ETHYLACETATE, ACOET, ETHYL-ACETATE",88,ethyl acetate,8857
"CL, CHLORINE, CL2",87,molecular chlorine,24526
ACETATE,86,acetate,175
SITAGLIPTIN,85,"(3R)-3-amino-1-[3-(trifluoromethyl)-6,8-dihydro-5H-[1,2,4]triazolo[4,3-a]pyrazin-7-yl]-4-(2,4,5-trifluorophenyl)butan-1-one",4369359
"EGCG, EPIGALLOCATECHIN GALLATE, EPIGALLOCATECHIN-3-GALLATE",85,"[(2R,3R)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromen-3-yl] 3,4,5-trihydroxybenzoate",65064
"L-CARNITINE, LEVOCARNITINE",84,(3R)-3-hydroxy-4-(trimethylazaniumyl)butanoate,10917
"STRUVITE, MAGNESIUM AMMONIUM PHOSPHATE HEXAHYDRATE",84,azanium;magnesium;phosphate;hexahydrate,10220511
"NIO, NIACIN, NICOTINIC ACID, NICO",83,pyridine-3-carboxylic acid,938
CITRIC ACID,83,"2-hydroxypropane-1,2,3-tricarboxylic acid",311
"CA2+, CA++, CALCIUM IONS",83,calcium(2+),271
DEXAMETHASONE,83,"(8S,9R,10S,11S,13S,14S,16R,17R)-9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one",5743
"NICKEL, NI",82,nickel,935
"PHENYLALANINE, PHE, L-PHENYLALANINE, L-PHE",82,(2S)-2-amino-3-phenylpropanoic acid,6140
"BETAINE, OXYNEURINE, GLYCINE BETAINE, N,N,N-TRIMETHYLGLYCINE",81,2-(trimethylazaniumyl)acetate,247
NICOTINE,80,3-[(2S)-1-methylpyrrolidin-2-yl]pyridine,89594
ALDOSTERONE,80,"(8S,9S,10R,11S,13R,14S,17S)-11-hydroxy-17-(2-hydroxyacetyl)-10-methyl-3-oxo-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthrene-13-carbaldehyde",5839
"CALCIUM PHOSPHATE, CALCIUM PHOSPHATES",79,tricalcium;diphosphate,24456
MPO,78,"5-(4-methoxyphenyl)-1,3-oxazole",3270828
"NAD+, NICOTINAMIDE ADENINE DINUCLEOTIDE, NAD",78,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoylpyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate",5892
NE,77,neon,23935
CALCIUM OXALATE MONOHYDRATE,77,calcium;oxalate;hydrate,165350
